Sl. No,Food Item,Recipe,Approximate Calorie per Serving
1,Alu Bhuna (Chattogram),"To prepare Alu Bhuna (Chattogram style), also known as roasted potato curry, begin by boiling 3 medium-sized potatoes, then peel and dice them into even chunks. Heat 3 tablespoons of oil in a heavy-bottomed pan and fry the diced potatoes until they turn golden brown, then set them aside. In the remaining oil, add 1 teaspoon of cumin seeds and let them splutter, followed by 1 finely chopped onion and 1 tablespoon each of ginger and garlic paste; sauté until the onion is soft and fragrant. Next, mix in 1 teaspoon of turmeric powder, 1 teaspoon of red chili powder, 1 teaspoon of coriander powder, and 1 teaspoon of cumin powder, along with a pinch of salt to taste, and cook the spices with a splash of water until the oil separates. Add 1 chopped tomato and cook until it softens and blends with the masala, then stir in the fried potatoes, ensuring they are well coated with the spice mixture. Pour in about 1 cup of water to create a thick gravy and let it simmer, covered, for about 10 minutes until the gravy thickens and the potatoes are tender and fully cooked. Finish by stirring in 1 teaspoon of garam masala and a handful of fresh coriander leaves, then serve hot with roti, paratha, or rice.",250
2,Alu Bhuna (Hill Tracts),"To prepare Alu Bhuna in the Hill Tracts style, a distinctively spicy and often dry potato preparation, first boil 3 medium-sized potatoes until tender, then peel and dice them into cubes. Heat 3 tablespoons of mustard oil in a pan until it smokes lightly, then lower the heat and add 1 teaspoon of whole cumin seeds and 2 dried red chilies, allowing them to crackle. Next, add 1 large chopped onion, 1 teaspoon each of ginger paste and garlic paste, and sauté until the onion turns golden brown. Stir in 1 teaspoon of turmeric powder, 1 teaspoon of red chili powder, 1 teaspoon of coriander powder, and salt to taste, cooking the masala with a splash of water until the raw smell disappears and the oil separates. Add the diced boiled potatoes and 2 slit green chilies, mixing gently so the potatoes are coated completely in the spicy bhuna masala. Cook on medium-low heat, stirring occasionally, for about 10 minutes until the potatoes are well-roasted and the curry is dry, not gravy-like. Finish with a sprinkle of fresh chopped coriander and serve hot.",240
3,Alu Bhuna (Khulna),"To prepare Alu Bhuna in the Khulna style, known for its rich and slightly tangy flavor, begin by boiling 3 medium-sized potatoes until they are three-quarters done, then peel and cube them. Heat 3 tablespoons of vegetable oil in a pan and lightly fry the potato cubes until golden on the edges, then remove and set aside. In the same oil, add 1 large finely chopped onion and sauté until it turns light brown, followed by 1 teaspoon each of ginger paste and garlic paste; cook until fragrant. Now, stir in 1 teaspoon of turmeric powder, 1 teaspoon of red chili powder, 1 teaspoon of cumin powder, 1 teaspoon of coriander powder, and salt to taste, adding a small amount of water to prevent burning, and cook the spice mix until the oil begins to separate. Add 1 finely chopped or puréed tomato and a dollop of yogurt, cooking until the tomato softens and the masala is well-bhuna or roasted. Return the fried potato cubes to the pan, add 1 cup of water for a semi-dry gravy, and let it simmer for about 10 minutes until the potatoes are completely tender and the gravy has thickened. Garnish with chopped green chilies and fresh coriander leaves before serving hot.",235
4,Alu Bhuna (Rajshahi),"To prepare Alu Bhuna in the Rajshahi style, a rich and aromatic potato dish, begin by boiling and cubing 3 medium-sized potatoes, and then set them aside. Heat 3 to 4 tablespoons of oil in a pan and add 1 teaspoon of whole cumin seeds to splutter; then add 1 large finely chopped onion and sauté until it turns a deep golden brown. Next, add 1 teaspoon each of ginger and garlic paste and cook until fragrant. Reduce the heat and stir in 1 teaspoon of turmeric powder, 1 teaspoon of red chili powder, 1 teaspoon of coriander powder, 1 half teaspoon of cumin powder, and salt to taste, adding a splash of water to cook the spices until the oil separates. Add 1 chopped tomato and cook until it softens and the masala is well-bhuna or roasted. Return the cubed potatoes to the pan along with 2 to 3 slit green chilies and 1 half teaspoon of Garam Masala powder, mixing gently to coat the potatoes in the thick masala. Cover and cook on low heat for about 5 to 7 minutes until the flavors are fully absorbed and the curry is mostly dry. Garnish with fresh chopped coriander leaves and serve hot.",240
5,Alu Bhuna (Sylhet),"To prepare Alu Bhuna in the Sylhet style, a simple yet spicy version, begin by boiling, peeling, and cubing 3 medium-sized potatoes, then lightly fry them in 3 tablespoons of oil until they are slightly golden and set them aside. In the remaining oil, add 1 large chopped onion and sauté until it turns light brown, followed by 1 teaspoon of ginger paste and 1 teaspoon of garlic paste, cooking until the raw smell disappears. Reduce the heat and stir in 1 teaspoon of turmeric powder, 1 teaspoon of red chili powder, 1 teaspoon of coriander powder, 1 half teaspoon of cumin powder, and salt to taste, mixing with a splash of water to form the bhuna masala. Add 1 half cup of chopped tomatoes and 3 slit green chilies and cook, stirring frequently, until the tomatoes soften and the oil separates. Now, return the fried potato cubes to the pan and gently mix to coat them thoroughly with the spicy masala. Add 1 half cup of water for a semi-dry consistency and simmer for about 5 minutes, or until the gravy thickens and clings to the potatoes. Stir in 1 half teaspoon of Garam Masala and finish the dish by garnishing with fresh chopped coriander leaves before serving hot.",235
6,Alu Dry (Barisal),"To prepare Alu Dry in the Barisal style, a rustic and aromatic dish characterized by its dry texture and mustard flavor, start by washing and peeling 3 medium-sized potatoes, then slicing them into thin wedges. Heat 3 tablespoons of mustard oil in a pan until it begins to smoke lightly, then reduce the heat. Add 1 teaspoon of black mustard seeds and let them splutter. Next, add 1 large onion sliced thinly and sauté until it turns golden brown. Mix in 1 teaspoon of ginger paste and 1 teaspoon of garlic paste, stirring until the raw aroma disappears. Now, add 1 teaspoon of turmeric powder, 1 teaspoon of red chili powder, 1 half teaspoon of roasted cumin powder, and salt to taste. Sprinkle a few drops of water to help the spices combine and cook the masala until oil begins to separate.

Add the sliced potatoes to the pan and stir well to coat them evenly with the spices. Cover and cook on low heat for about 12–15 minutes, stirring occasionally to prevent sticking. Do not add water—allow the potatoes to cook in their own steam until soft and slightly crisp at the edges. Once done, sprinkle 1 half teaspoon of Garam Masala and a handful of chopped fresh coriander leaves. Mix gently and serve hot as a side dish with steamed rice or paratha.",210
7,Alu Dry (Khulna),"To prepare Alu Dry in the Khulna style, a flavorful and earthy potato dish known for its smoky and slightly tangy taste, begin by peeling and cubing 3 medium-sized potatoes. Heat 3 tablespoons of soybean oil in a pan and lightly fry the potato cubes until they turn golden on the edges, then remove and set aside. In the same oil, add 1 teaspoon of panch phoron (Bengali five-spice mix) and let it splutter to release its aroma. Add 1 large finely chopped onion and sauté until light brown. Stir in 1 teaspoon of garlic paste and 1 teaspoon of ginger paste, cooking until the raw smell disappears.

Reduce the heat and add 1 teaspoon of turmeric powder, 1 teaspoon of red chili powder, 1 teaspoon of roasted coriander powder, 1 half teaspoon of cumin powder, and salt to taste. Mix the spices with a splash of water and fry the masala until oil separates. Add 1 chopped tomato and 2 slit green chilies, cooking until the tomato softens. Return the fried potato cubes to the pan and mix thoroughly so they are evenly coated with the spice mixture. Continue to cook uncovered on low heat for about 10 minutes, stirring occasionally, until the potatoes are well roasted and the dish becomes completely dry with a light caramelized coating.

Finish by adding a squeeze of fresh lemon juice and a few chopped coriander leaves for brightness. Serve hot with plain rice or khichuri.",225
8,Alu Dry (Rajshahi),"To prepare Alu Dry in the Rajshahi style, a subtly spiced and slightly sweet potato dish known for its balanced flavor and use of roasted spices, start by peeling and dicing 3 medium-sized potatoes into small cubes. Heat 3 tablespoons of mustard oil in a pan until lightly smoking, then reduce the heat. Add 1 teaspoon of cumin seeds and let them crackle. Follow with 1 large onion, thinly sliced, and sauté until soft and golden. Add 1 teaspoon of ginger paste and 1 teaspoon of garlic paste, stirring until fragrant.

Now, incorporate 1 teaspoon of turmeric powder, 1 teaspoon of Kashmiri red chili powder, 1 teaspoon of coriander powder, 1 half teaspoon of roasted cumin powder, and salt to taste. Add a small splash of water to prevent burning and fry the masala until oil separates. Stir in 1 half cup of finely chopped ripe tomatoes and 1 teaspoon of sugar, allowing the mixture to cook until it becomes thick and glossy. Add the potato cubes and mix gently to coat them evenly with the spiced base.

Cover and cook on medium-low heat for 10–12 minutes, stirring occasionally, until the potatoes become tender and lightly crisp on the edges. Ensure the dish remains dry and aromatic, not saucy. Finish by adding 1 half teaspoon of Garam Masala and a few chopped fresh coriander leaves. Serve warm with steamed rice, ruti, or paratha.",215
9,Alu Dry (Rangpur),"To prepare Alu Dry in the Rangpur style, a distinctly rustic and sharp-flavored dish known for its mustard and green chili intensity, start by peeling and slicing 3 medium-sized potatoes into thin rounds or wedges. Heat 3 tablespoons of mustard oil in a heavy pan until it reaches smoking point, then lower the heat. Add 1 teaspoon of black mustard seeds and let them splutter. Immediately add 1 large onion, finely sliced, and sauté until light golden. Mix in 1 teaspoon of garlic paste and 1 half teaspoon of ginger paste, frying until aromatic.

Next, reduce the heat and add 1 teaspoon of turmeric powder, 1 teaspoon of red chili powder, 1 half teaspoon of coriander powder, and salt to taste. Sprinkle a few drops of water and stir until the spices form a smooth paste and the oil begins to separate. Add 4–5 slit green chilies and 1 tablespoon of freshly ground mustard paste (made from soaked mustard seeds and a pinch of salt), stirring gently to combine.

Now, add the sliced potatoes and toss well to coat them thoroughly with the spicy mustard mixture. Cover and cook on low heat for about 12–15 minutes, stirring occasionally to prevent burning. Avoid adding water — the potatoes should cook in steam and develop a dry, slightly crisp exterior. Once done, drizzle a few drops of raw mustard oil over the top for extra aroma and mix lightly. Garnish with chopped coriander leaves before serving hot.",220
10,Alu Dry (Sylhet),"To prepare Alu Dry in the Sylhet style, a mildly spiced and aromatic potato dish that emphasizes simplicity and the fragrance of green chilies, begin by peeling and cutting 3 medium-sized potatoes into thin wedges or small cubes. Heat 3 tablespoons of mustard oil or soybean oil in a pan and lightly fry the potatoes until the edges turn golden, then remove and set aside. In the same oil, add 1 large onion, finely sliced, and sauté until translucent. Add 1 teaspoon of garlic paste and 1 half teaspoon of ginger paste, stirring until the raw smell disappears.

Reduce the heat and add 1 teaspoon of turmeric powder, 1 teaspoon of red chili powder, 1 half teaspoon of cumin powder, and salt to taste. Add a splash of water to keep the masala from burning and fry until oil separates. Add 3–4 slit green chilies and stir for a minute to infuse the flavor. Return the fried potatoes to the pan and mix gently so they are well-coated with the spice blend.

Continue to cook uncovered on low flame for about 8–10 minutes, stirring occasionally, until the potatoes are tender and the mixture becomes completely dry, with a light golden crust forming on some pieces. For an authentic Sylheti touch, sprinkle 1 half teaspoon of Garam Masala and a few drops of lemon juice before removing from heat. Garnish with freshly chopped coriander leaves and serve hot with steamed rice or paratha.",215
